document_title,source_url,document_type,session,date,year,question_number,asked_by,minister,section,question_text,parts_count
"Wednesday, 11th June, 2025",https://www.parliament.gov.zm/node/12379,Order Paper,FOURTH SESSION OF THE THIRTEENTH ASSEMBLY,,,300,Mr Mabenga (Mulobezi),Minister of Transport and Logistics,5. QUESTIONS FOR ORAL ANSWER (STANDING ORDER 80),"(a) what measures the Government is taking to prevent Public Service Vehicle drivers from contravening traffic rules such as stopping at undesignated places for passengers to board or disembark from the buses; (b) why traffic officers do not conduct patrols in the Central Business Districts (CBDs) so as to maintain law and order; (c) what plans the Government has to rid CBDs of Public Service Vehicles, countrywide; (d) whether there are any plans for programmes to re-train Public Service Vehicle drivers before renewing their driving licences; and (e) if there are no such plans, why.",5
"Wednesday, 11th June, 2025",https://www.parliament.gov.zm/node/12379,Order Paper,FOURTH SESSION OF THE THIRTEENTH ASSEMBLY,,,301,Mr Miyutu (Kalabo Central),Minister of Home Affairs and Internal Security,5. QUESTIONS FOR ORAL ANSWER (STANDING ORDER 80),"(a) whether the Government prioritises the reserve police officers when recruiting police officers in the Zambia Police Service; (b) if the reserve police officers are not prioritised, why; and (c) under what conditions of service the reserve police officers serve.",3
"Wednesday, 11th June, 2025",https://www.parliament.gov.zm/node/12379,Order Paper,FOURTH SESSION OF THE THIRTEENTH ASSEMBLY,,,302,Mr Simunji (Nalikwanda),Minister of Finance and National Planning,5. QUESTIONS FOR ORAL ANSWER (STANDING ORDER 80),"(a) how much money, meant for the implementation of the credit facility for small and medium enterprises, the Development Bank of Zambia (DBZ), in liquidation, received from the USD750 million Euro Bond issued in 2012; (b) how many small and medium enterprises benefited from the facility; (c)     when the loans were disbursed; (d) how much money had been repaid, as of October, 2024; and (e) what measures the Government is taking to ensure that the loans are repaid in full.",5
"Wednesday, 11th June, 2025",https://www.parliament.gov.zm/node/12379,Order Paper,FOURTH SESSION OF THE THIRTEENTH ASSEMBLY,,,303,Mr Kapyanga (Mpika),Minister of Education,5. QUESTIONS FOR ORAL ANSWER (STANDING ORDER 80),"(a) whether the Government has any plans to construct the following infrastructure at Chilonga Day Secondary School in Mpika District: (i) classroom blocks; (ii) administration block; (iii) science laboratory; and (iv) computer laboratory; (b) if so, when the plans will be implemented; and (c) if there are no such plans, why.",4
"Wednesday, 11th June, 2025",https://www.parliament.gov.zm/node/12379,Order Paper,FOURTH SESSION OF THE THIRTEENTH ASSEMBLY,,,304,Mr Miyutu (Kalabo Central),Minister of Health,5. QUESTIONS FOR ORAL ANSWER (STANDING ORDER 80),"(a) how many volunteer workers there were in health facilities in Kalabo District, as of December, 2024; (b) what criteria are used in engaging the volunteers; and (c) whether the volunteers are paid any stipend.",3
"Wednesday, 11th June, 2025",https://www.parliament.gov.zm/node/12379,Order Paper,FOURTH SESSION OF THE THIRTEENTH ASSEMBLY,,,305,Mr Kapyanga (Mpika),"Minister of Youth, Sport and Arts",5. QUESTIONS FOR ORAL ANSWER (STANDING ORDER 80),"(a) whether the Government has any plans to construct the following sports facilities in Mpika Parliamentary Constituency: (i) a football stadium; and (ii) a golf course; (b) if so, when the plans will be implemented; and (c) if there are no such plans, why.",4
"Wednesday, 11th June, 2025",https://www.parliament.gov.zm/node/12379,Order Paper,FOURTH SESSION OF THE THIRTEENTH ASSEMBLY,,,306,Mr Mutale (Chitambo),Minister of Local Government and Rural Development,5. QUESTIONS FOR ORAL ANSWER (STANDING ORDER 80),(a) when the Government will complete the rehabilitation of the following feeder roads in Chitambo District: (i) Chansa - Kasuko; and (ii) Chalilo - Chiphundu; and (b) what the cause of the delay in completing the projects is.,3
"Wednesday, 11th June, 2025",https://www.parliament.gov.zm/node/12379,Order Paper,FOURTH SESSION OF THE THIRTEENTH ASSEMBLY,,,307,Mr Kapyanga (Mpika),"Minister of Youth, Sport and Arts",5. QUESTIONS FOR ORAL ANSWER (STANDING ORDER 80),"(a) how many youths in Mpika Parliamentary Constituency were unemployed, as of April, 2024; and (b) what measures are being taken to create employment for the youths in the Constituency.",2
"Wednesday, 11th June, 2025",https://www.parliament.gov.zm/node/12379,Order Paper,FOURTH SESSION OF THE THIRTEENTH ASSEMBLY,,,308,Mr Miyutu (Kalabo Central),Minister of Education,5. QUESTIONS FOR ORAL ANSWER (STANDING ORDER 80),"(a) how many teachers in public schools, countrywide, were specialised in the following subjects, as of August, 2024: (i) Mathematics; (ii) Biology; (iii) Physics; and (iv) Chemistry; and (b) whether the Government has any plans to recruit additional teachers specialised in the subjects above in order to enhance the performance of pupils in public schools. ___________________________",3
"Friday, 13th June, 2025",https://www.parliament.gov.zm/node/12381,Order Paper,FOURTH SESSION OF THE THIRTEENTH ASSEMBLY,,,316,Mr Mabenga (Mulobezi),"Minister of Youth, Sport and Arts",6. QUESTIONS FOR ORAL ANSWER (STANDING ORDER 80),"(a) what policies the Government is implementing to enhance sports development, countrywide, especially in rural areas; (b) what criteria are used to select players to the national football team; (c) when the national football team last had a ‘school boy international player’; and (d) whether the Government has overriding powers over the Football Association of Zambia in the administration of football in the country.",4
"Friday, 13th June, 2025",https://www.parliament.gov.zm/node/12381,Order Paper,FOURTH SESSION OF THE THIRTEENTH ASSEMBLY,,,317,Mr Kapyanga (Mpika),Minister of Education,6. QUESTIONS FOR ORAL ANSWER (STANDING ORDER 80),"(a) whether the Government has any plans to construct a boarding secondary school in Nabwalya Chiefdom in Mpika District; (b) if so, when the plans will be implemented; (c) what the estimated cost of the project is; and (d) if there are no such plans, why.",4
"Friday, 13th June, 2025",https://www.parliament.gov.zm/node/12381,Order Paper,FOURTH SESSION OF THE THIRTEENTH ASSEMBLY,,,318,Mr Miyutu (Kalabo Central),Minister of Education,6. QUESTIONS FOR ORAL ANSWER (STANDING ORDER 80),"(a) whether the Government has any plans to construct day and boarding secondary schools in Kalabo District; (b) if so, how many such schools will be constructed; (c) when the plans will be implemented; and (d) if there are no such plans, why.",4
"Wednesday, 16th October, 2024",https://www.parliament.gov.zm/node/11952,Order Paper,FOURTH SESSION OF THE THIRTEENTH ASSEMBLY,,,33,Mr Hamwaata (Pemba),Minister of Justice,5. QUESTIONS FOR ORAL ANSWER (STANDING ORDER 80),"(a) whether the Government is aware that officers at Moyo Local Court in Pemba District have deserted the premises, thereby rendering the court non-operational; (b) if so, what measures are being taken to resolve the problem; and (c) when the court will be operational.",3
"Wednesday, 16th October, 2024",https://www.parliament.gov.zm/node/11952,Order Paper,FOURTH SESSION OF THE THIRTEENTH ASSEMBLY,,,34,Mr Kabaso (Mwansabombwe),Minister of Energy,5. QUESTIONS FOR ORAL ANSWER (STANDING ORDER 80),"(a) why Mwansabombwe District Hospital is still experiencing loadshedding despite the President’s directive to exempt health facilities from load management; and (b) when ZESCO Limited  will comply with the President’s directive and exempt the hospital and all health facilities, countrywide, from load management.",2
"Wednesday, 16th October, 2024",https://www.parliament.gov.zm/node/11952,Order Paper,FOURTH SESSION OF THE THIRTEENTH ASSEMBLY,,,35,Mr Kanengo (Kabushi),"Minister of Infrastructure, Housing and Urban Development",5. QUESTIONS FOR ORAL ANSWER (STANDING ORDER 80),(a) when the construction of Samfya Road in Lubuto Ward in Kabushi Parliamentary Constituency will commence; and (b) what the cost of the project is.,2
"Tuesday, 25th February, 2020",https://www.parliament.gov.zm/node/8291,Order Paper,FOURTH SESSION OF THE TWELFTH ASSEMBLY,,,175,Mr Nanjuwa (Mumbwa),Minister of Tourism and Arts,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) whether there are any illegal settlers in the Kafue National Park in Mumbwa Parliamentary Constituency; (b) if so, how many there are; (c) what the population of each settlement is; and (d) what the estimated cost of relocating all the illegal settlers from the National Park is.",4
"Tuesday, 25th February, 2020",https://www.parliament.gov.zm/node/8291,Order Paper,FOURTH SESSION OF THE TWELFTH ASSEMBLY,,,176,Mr Ng’onga (Kaputa),Minister of Home Affairs,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) whether the Government has any plans to construct a correctional facility in Kaputa District; (b) if so, when the plans will be implemented; (c) what the estimated cost of the project is; and (d) what the estimated time frame for the completion of the project is.",4
"Tuesday, 25th February, 2020",https://www.parliament.gov.zm/node/8291,Order Paper,FOURTH SESSION OF THE TWELFTH ASSEMBLY,,,177,Ms Tambatamba (Kasempa),Minister of Lands and Natural Resources,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) how many tonnes of timber, by species, were harvested in Kasempa Parliamentary Constituency from 2015 to 2018, year by year; (b) how much revenue the Government collected in the same period; (c) whether the revenue collected has benefited the local people; and (d) if so, how the local people have benefited.",4
"Tuesday, 25th February, 2020",https://www.parliament.gov.zm/node/8291,Order Paper,FOURTH SESSION OF THE TWELFTH ASSEMBLY,,,178,Mr Simfukwe (Mbala),Minister of Energy whether the Government has any plans to connect the following areas in Mbala Parliamentary Constituency to the national electricity grid,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),(a) Masamba; (b) Chief Penza; (c) Chief Kela; and (d) Kaka Secondary School.,4
"Tuesday, 25th February, 2020",https://www.parliament.gov.zm/node/8291,Order Paper,FOURTH SESSION OF THE TWELFTH ASSEMBLY,,,179,Mr Hamusonde (Nangoma),Minister of Housing and Infrastructure Development,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) whether the Government has any plans to tar the road from Nangoma Filling Station to Nangoma Mission Hospital in Nangoma Parliamentary Constituency; and (b) if so, when the plans will be implemented.",2
"Tuesday, 25th February, 2020",https://www.parliament.gov.zm/node/8291,Order Paper,FOURTH SESSION OF THE TWELFTH ASSEMBLY,,,180,Mr Imbuwa (Nalolo),Minister of Housing and Infrastructure Development,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) why the rehabilitation of the portion of the Kalongola - Kalabo road, from Kalongola to New Nalolo Town, has stalled; (b) when the works will resume; and (c) when the project will be completed.",3
"Tuesday, 25th February, 2020",https://www.parliament.gov.zm/node/8291,Order Paper,FOURTH SESSION OF THE TWELFTH ASSEMBLY,,,181,Mr Kaziya (Matero),Minister of Agriculture,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) whether the Government has any plans to revive agricultural co-operatives countrywide, to enhance the marketing of agricultural products; (b) if so, when the plans will be implemented; (c) whether the Government has any plans to re-introduce state-owned farms; and (d) if so, when the plans will be implemented.",4
"Tuesday, 25th February, 2020",https://www.parliament.gov.zm/node/8291,Order Paper,FOURTH SESSION OF THE TWELFTH ASSEMBLY,,,182,Mr Kamondo (Mufumbwe),"Minister of Water Development, Sanitation and Environmental Protection",QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),(a) when the sinking of boreholes in the following Wards in Mufumbwe Parliamentary Constituency will commence: (i) Miluji; (ii) Lalafuta; (iii) Kaminzekezeke; (iv) Mushima; (v) Musonweji; (vi) Kabipupu; (vii) Kalengwa; and (viii) Matushi; and (b) what has caused the delay in commencing the project.,4
"Tuesday, 25th February, 2020",https://www.parliament.gov.zm/node/8291,Order Paper,FOURTH SESSION OF THE TWELFTH ASSEMBLY,,,183,Mr Mecha (Chifunabuli),Minister of Home Affairs,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) how many children, countrywide, were living in prisons, on account of their incarcerated mothers, as of June, 2019; (b) what the policy of Government on such children is; (c) whether the Government gives the children any amenities and preferential treatment in accordance with their basic human rights; and (d) if no such treatment is given to the children, why.",4
"Tuesday, 25th February, 2020",https://www.parliament.gov.zm/node/8291,Order Paper,FOURTH SESSION OF THE TWELFTH ASSEMBLY,,,184,Mr Lihefu (Manyinga),Minister of General Education,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) whether the Government has any plans to procure motor vehicles for the Office of the District Education Board Secretary in Manyinga District; (b) if so, when the plans will be implemented; and (c) if there are no such plans, why.",3
"Tuesday, 25th February, 2020",https://www.parliament.gov.zm/node/8291,Order Paper,FOURTH SESSION OF THE TWELFTH ASSEMBLY,,,185,Mr Mukosa (Chinsali),Minister of Housing and Infrastructure Development,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) when the rehabilitation of the Katibunga-Kakoko road in Mfuwe Parliamentary Constituency will be completed; (b) who the contractor for the project is; (c) how much money had been paid to the contractor as of July, 2019; and (d) what the cause of the delay in completing the project is.",4
"Tuesday, 25th February, 2020",https://www.parliament.gov.zm/node/8291,Order Paper,FOURTH SESSION OF THE TWELFTH ASSEMBLY,,,186,Mr A Mumba (Kantanshi),Minister of Finance,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) how many companies are under the Industrial Development Corporation (IDC); (b) of the companies above, how many are loss making; (c) what the way forward for the loss making companies, is; (d) what the total number of jobs created under the IDC was, as of March, 2019; (e) what the cause of the delay by the IDC to create more jobs is; and (f) what measures the Government is taking to accelerate job creation under the IDC.",6
"Tuesday, 25th February, 2020",https://www.parliament.gov.zm/node/8291,Order Paper,FOURTH SESSION OF THE TWELFTH ASSEMBLY,,,187,Mr Mutale (Chitambo),Minister of Housing and Infrastructure Development,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),(a) when the construction of mini hospitals at Mumbula and Katikulula Phase 3 Resettlement Scheme in Chitambo Parliamentary Constituency will commence; (b) what has caused the delay in commencing the projects; (c) who the contractor for each project is; (d) what the cost of each project is; and (e) who the financiers of each project are.,5
"Tuesday, 25th February, 2020",https://www.parliament.gov.zm/node/8291,Order Paper,FOURTH SESSION OF THE TWELFTH ASSEMBLY,,,188,Ms Subulwa (Sioma),Minister of General Education,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) how many teachers upgraded their professional qualifications in Sioma Parliamentary Constituency as of December, 2018; (b) of the number above, how many have been promoted to appropriate positions; and (c) when the rest will be promoted.",3
"Tuesday, 25th February, 2020",https://www.parliament.gov.zm/node/8291,Order Paper,FOURTH SESSION OF THE TWELFTH ASSEMBLY,,,189,Mr Mung’andu (Chama South),Minister of Housing and Infrastructure Development,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),(a) why the rehabilitation of the following roads has stalled: (i) Chama - Matumbo; and (ii) Chama - Lundazi; (b) when works on each project will resume; and (c) what the time frame for the completion of each project is.,4
"Tuesday, 25th February, 2020",https://www.parliament.gov.zm/node/8291,Order Paper,FOURTH SESSION OF THE TWELFTH ASSEMBLY,,,190,Ms Kucheka (Zambezi West),"Minister of Youth, Sport and Child Development",QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) whether there are any youth empowerment programmes being implemented in Zambezi West Parliamentary Constituency; (b) if so, what the programmes are; (c) how many youth clubs benefited from the programmes in 2018; (d) what the total number of youths, who benefited from the programme is; and (e) if there are no such programmes being implemented, why. QUESTION FOR WRITTEN ANSWER W5.  Mr P Phiri (Mkaika)    -   to ask the Minister of Youth, Sport and Child Development: (a) whether there were any youth empowerment programmes funded by the Government in the following Districts in the Eastern Province, in 2017 and 2018: (i) Nyimba; (ii) Petauke; (iii) Lundazi; (iv) Katete; and (v) Vubwi; (b) if so, what the programmes were; (c) what the names of the youth groups which benefited were; and (d) how much money was disbursed to each District. __________________________",11
"Thursday, 12th October, 2023",https://www.parliament.gov.zm/node/11371,Order Paper,THIRD SESSION OF THE THIRTEENTH ASSEMBLY,,,93,Mr Malambo (Magoye),Vice President what urgent measures the Government is taking to prevent the recurring of floods in Itebe Ward in Magoye Parliamentary Constituency during the rainy season.,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 76),,0
"Thursday, 12th October, 2023",https://www.parliament.gov.zm/node/11371,Order Paper,THIRD SESSION OF THE THIRTEENTH ASSEMBLY,,,94,Mr Emmanuel J Banda (Petauke Central),Minister of Water Development and Sanitation,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 76),"(a) whether the Government is aware that there is a critical shortage of water in the following wards in Petauke Central Parliamentary Constituency: (i) Nyika; (ii) Musubanzi; (iii) Minga; and (iv) Chimanyama; and (b) if so, what urgent measures are being taken to restore normal water supply and avert an outbreak of water borne diseases in the affected areas.",3
"Thursday, 12th October, 2023",https://www.parliament.gov.zm/node/11371,Order Paper,THIRD SESSION OF THE THIRTEENTH ASSEMBLY,,,95,Mr Hlazo (Chilanga),Minister of Tourism,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) whether the Government has any plans to rehabilitate Munda Wanga Environmental Park in Chilanga District; (b) if so, when the project will commence; (c) what the size of the Park is; (d) who the owner of the land on which the Park is located, is; (e) whether the Government has received any Public Private Partnership proposals for the management of the Park; and (f) if so, what the Government’s position on the matter is.",6
"Thursday, 12th October, 2023",https://www.parliament.gov.zm/node/11371,Order Paper,THIRD SESSION OF THE THIRTEENTH ASSEMBLY,,,96,Mr Kapyanga (Mpika),"Minister of Infrastructure, Housing and Urban Development",QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),(a) when the construction of the Mpika-Nabwalya road in Mpika District will be completed; and (b) what the cause of the delay in completing the project is.,2
"Thursday, 12th October, 2023",https://www.parliament.gov.zm/node/11371,Order Paper,THIRD SESSION OF THE THIRTEENTH ASSEMBLY,,,97,Ms Halwiindi (Kabwe Central),"Minister of Infrastructure, Housing and Urban Development",QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) why the construction of the Drug Enforcement Commission offices in Kabwe District has stalled; (b) when the project will resume; (c) what the total cost of the project is; (d) how much money was paid to the contractor, as of June, 2023; and (e) what the time frame for the completion of the project is.",5
"Thursday, 12th October, 2023",https://www.parliament.gov.zm/node/11371,Order Paper,THIRD SESSION OF THE THIRTEENTH ASSEMBLY,,,98,Mr C Kang’ombe (Kamfinsa),Minister of Home Affairs and Internal Security,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) what the Government’s position on the Zambia Police Service land in Mashula Compound in Kamfinsa Parliamentary Constituency, which has been occupied by settlers for over 30 years, is; (b) whether the Government has any plans to surrender the occupied portion of the land to the settlers; (c) if so, when the plans will be implemented; and (d) if there are no such plans, why. ORDER OF THE DAY 1. Supply - Motion (29th September) - Resumption of Debate. ___________________________",4
"Thursday, 15th February, 2024",https://www.parliament.gov.zm/node/11569,Order Paper,THIRD SESSION OF THE THIRTEENTH ASSEMBLY,,,196,Mr Miyutu (Kalabo Central),Minister of Fisheries and Livestock,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) what the annual production of each of the following products is, countrywide: (i) beef; (ii) pork; and (iii) milk; (b) what measures the Government is taking to increase production of the three products; (c) which areas will be targeted for the envisaged increased production; and (d) what the targets of the increased production are.",5
"Thursday, 15th February, 2024",https://www.parliament.gov.zm/node/11569,Order Paper,THIRD SESSION OF THE THIRTEENTH ASSEMBLY,,,197,Mr Mushanga (Bwacha),Minister of Health,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) how many times in a year the Government supplies medicines to all health facilities across the country; (b) when the Government last supplied medicines to health facilities across the country; (c) why some health facilities have continued to experience shortage of medicines despite the supply; and (d) what measures the Government is implementing to safeguard the medicines distributed to health facilities, countrywide.",4
"Thursday, 15th February, 2024",https://www.parliament.gov.zm/node/11569,Order Paper,THIRD SESSION OF THE THIRTEENTH ASSEMBLY,,,198,Mr Mwambazi (Bwana Mkubwa),Minister of Water Development and Sanitation,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) when the laying of water pipes in the following wards in Bwana Mkubwa Parliamentary Constituency, under the Kafulafuta Water Project, will commence: (i) Lupili; (ii) Mushili; and (iii) Twashuka; (b) what the timeframe for the project is; and (c) what the cost of providing water to each ward is.",4
"Thursday, 15th February, 2024",https://www.parliament.gov.zm/node/11569,Order Paper,THIRD SESSION OF THE THIRTEENTH ASSEMBLY,,,199,Mr Mutelo (Mitete),Minister of Education,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) whether the Government has any plans to procure a motor vehicle for the District Education Board Secretary’s Office in Mitete District; (b) if so, when the plans will be implemented; and (c) if there are no such plans, why.",3
"Thursday, 15th February, 2024",https://www.parliament.gov.zm/node/11569,Order Paper,THIRD SESSION OF THE THIRTEENTH ASSEMBLY,,,200,Mr Mtayachalo (Chama North),"Minister of Infrastructure, Housing and Urban Development",QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) whether the Government has any plans to upgrade, to bituminous standard, the Chama-Muyombe road, which connects Chama and Mafinga Districts; (b) if so, when the plans will be implemented; and (c) if there are no such plans, why.",3
"Thursday, 15th February, 2024",https://www.parliament.gov.zm/node/11569,Order Paper,THIRD SESSION OF THE THIRTEENTH ASSEMBLY,,,201,Mr Kolala (Lufubu),Minister of Local Government and Rural Development,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) whether the Government has any plans to purchase motor vehicles for Chief Mukubwe and Chief Mwinuna of Ngabwe District; and (b) if so, when the plans will be implemented. NOTICE OF MOTION Mr Michelo Adopt Report of the Committee on Agriculture, Lands and Natural Resources: That this House do adopt the Report of the Committee on Agriculture, Lands and Natural Resources on the Performance Audit Report on the Implementation of the Farmer Input Support Programme (FISP) 2018 to 2022, for the Third Session of the Thirteenth National Assembly, laid on the Table of the House on Tuesday, 28th November, 2023. ___________________________",2
"Thursday, 2nd March, 2023",https://www.parliament.gov.zm/node/10925,Order Paper,SECOND SESSION OF THE THIRTEENTH ASSEMBLY,,,179,Mr Chala (Chipili),Minister of Health,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a)    whether the Government has any plans to construct a district hospital in Chipili District; (b)    if so, when the plans will be implemented; (c)    what the cost of the project is; and (d)    if there are no such plans, what the reasons are.",4
"Thursday, 2nd March, 2023",https://www.parliament.gov.zm/node/10925,Order Paper,SECOND SESSION OF THE THIRTEENTH ASSEMBLY,,,180,Mr Miyutu (Kalabo Central),Minister of Health when the Government will improve the supply of essential drugs to health facilities in Kalabo District.,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),,0
"Thursday, 2nd March, 2023",https://www.parliament.gov.zm/node/10925,Order Paper,SECOND SESSION OF THE THIRTEENTH ASSEMBLY,,,181,Mr Chanda (Kanchibiya),Minister of Energy,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a)    when electrification of secondary schools in Kanchibiya Parliamentary Constituency will commence, to facilitate the learning of information and communication technology subjects; and (b)    what has caused the delay in commencing the project. ORDER OF THE DAY 1.  Thanks  –  His Excellency the President’s Address  –  Motion (28th February)  –  Resumption of Debate. ____________________________",2
"Tuesday, 11th June, 2024",https://www.parliament.gov.zm/node/11712,Order Paper,THIRD SESSION OF THE THIRTEENTH ASSEMBLY,,,332,Mr Chitotela (Pambashe),Minister of Finance and National Planning,. QUESTIONS FOR ORAL ANSWER (STANDING ORDER 80),"(a) how much revenue was collected in toll fees, countrywide, in 2023; (b) of the revenue collected in the period above, how much money was allocated to the following in each quarter: (i) road rehabilitation; (ii) road maintenance; and (iii) road construction; and (c) if no money was allocated for road rehabilitation, maintenance and construction, why.",4
"Tuesday, 11th June, 2024",https://www.parliament.gov.zm/node/11712,Order Paper,THIRD SESSION OF THE THIRTEENTH ASSEMBLY,,,333,Mr Miyutu (Kalabo Central),"Minister of Agriculture how many of the following there were in Kalabo District, as of April, 2023",. QUESTIONS FOR ORAL ANSWER (STANDING ORDER 80),(a) farming blocks; and (b) agricultural camps.,2
"Tuesday, 11th June, 2024",https://www.parliament.gov.zm/node/11712,Order Paper,THIRD SESSION OF THE THIRTEENTH ASSEMBLY,,,334,Mr Mutinta (Itezhi-Tezhi),"Minister of Infrastructure, Housing and Urban Development",. QUESTIONS FOR ORAL ANSWER (STANDING ORDER 80),"(a) why the construction of the district administration offices in Itezhi-Tezhi District has stalled; (b) when the project will resume, considering that the structure is being vandalised; and (c) what the time frame for the completion of the project is.",3
"Tuesday, 11th June, 2024",https://www.parliament.gov.zm/node/11712,Order Paper,THIRD SESSION OF THE THIRTEENTH ASSEMBLY,,,335,Mr L Lungu (Kapoche),"Minister of Agriculture what measures the Government is taking to ensure that the cost of farming inputs is affordable, so as to enable farmers, countrywide, to make profit on their produce.",. QUESTIONS FOR ORAL ANSWER (STANDING ORDER 80),,0
"Tuesday, 11th June, 2024",https://www.parliament.gov.zm/node/11712,Order Paper,THIRD SESSION OF THE THIRTEENTH ASSEMBLY,,,336,Mr Chanda (Kanchibiya),"Minister of  Infrastructure, Housing and Urban Development",. QUESTIONS FOR ORAL ANSWER (STANDING ORDER 80),(a) when rehabilitation works of the Chambeshi-Chinkobo road in Kanchibiya Parliamentary Constituency will commence; (b)  what the time frame for the completion of the project is; (c) how many bridges are earmarked for construction along the road; (d) who the contractor for the project is; and (e) what the cost of the project is.,5
"Tuesday, 11th June, 2024",https://www.parliament.gov.zm/node/11712,Order Paper,THIRD SESSION OF THE THIRTEENTH ASSEMBLY,,,337,Mr Miyutu (Kalabo Central),"Minister of Local Government and Rural Development what measures the Government is taking to improve the state of feeder roads in rural districts, countrywide.",. QUESTIONS FOR ORAL ANSWER (STANDING ORDER 80),,0
"Tuesday, 11th June, 2024",https://www.parliament.gov.zm/node/11712,Order Paper,THIRD SESSION OF THE THIRTEENTH ASSEMBLY,,,338,Mr Mutale (Chitambo),Minister of Energy,. QUESTIONS FOR ORAL ANSWER (STANDING ORDER 80),"(a) whether the Government has any plans to electrify the following locations in Katikulula Resettlement Scheme in Chitambo District: (i) Phase 1; (ii) Phase 2; and (iii) Phase 3; (b) if so, when the plans will be implemented; and (c) if there are no such plans, why.",4
"Tuesday, 11th June, 2024",https://www.parliament.gov.zm/node/11712,Order Paper,THIRD SESSION OF THE THIRTEENTH ASSEMBLY,,,339,Mr Tayengwa (Kabwata),Minister of Local Government and Rural Development,. QUESTIONS FOR ORAL ANSWER (STANDING ORDER 80),"(a) whether the Government has any plans to extend the Bombay Drainage Project in Kabwata Parliamentary Constituency to the following areas: (i) Chilenje Ward; and (ii) Jack Compound; and (b) if so, when the plans will be implemented.",3
"Tuesday, 11th June, 2024",https://www.parliament.gov.zm/node/11712,Order Paper,THIRD SESSION OF THE THIRTEENTH ASSEMBLY,,,340,Mr Fube (Chilubi),Minister of Fisheries and Livestock,. QUESTIONS FOR ORAL ANSWER (STANDING ORDER 80),"(a) whether the Government has any plans to conduct a cattle restocking exercise in Chilubi District; (b) if so, when the plans will be implemented; and (c) how many herds of cattle will be provided for the exercise.",3
"Tuesday, 11th June, 2024",https://www.parliament.gov.zm/node/11712,Order Paper,THIRD SESSION OF THE THIRTEENTH ASSEMBLY,,,341,Mr C Mulenga (Kwacha),Minister of Health,. QUESTIONS FOR ORAL ANSWER (STANDING ORDER 80),"(a)  whether the Government has any plans to construct a hospital in Chantete Ward in Kwacha Parliamentary Constituency; (b)      if so, when the plans will be implemented; (c)     what the estimated time frame for the completion of the project is; (d)     what the estimated cost of the project is; and (e)     if there are no such plans, why.",5
"Tuesday, 11th June, 2024",https://www.parliament.gov.zm/node/11712,Order Paper,THIRD SESSION OF THE THIRTEENTH ASSEMBLY,,,342,Mr J Daka (Chadiza),Minister of Green Economy and Environment,. QUESTIONS FOR ORAL ANSWER (STANDING ORDER 80),"(a)     what measures the Government is implementing to curb deforestation, countrywide; (b)     how much money was allocated to control the vice, as of November, 2023; (c)     whether there are any policies in place to control the cultivation and curing of virginia tobacco, which is one of the major contributors to deforestation; and (d)    if there are no such policies, why.",4
