document_title,source_url,document_type,session,date,year,question_number,asked_by,minister,section,question_text,parts_count,month,day_of_week,quarter,is_weekend,parliamentary_year,session_quarter,question_sequence,questions_per_day,mp_questions_total,mp_questions_this_year,mp_activity_rate,minister_questions_total,minister_questions_this_month,is_budget_season,is_election_year,text_length,word_count,sentence_count,avg_word_length,flesch_score,flesch_grade,sentiment_positive,sentiment_negative,sentiment_neutral,sentiment_compound,is_yes_no_question,is_how_question,is_why_question,is_what_question,is_when_question,is_where_question,urgency_score,contains_numbers,contains_percentages,contains_money,topic_health,topic_education,topic_infrastructure,topic_agriculture,topic_mining,topic_water,topic_energy,topic_security,topic_finance,topic_governance,multi_sector_question,sector_count,dominant_sector,has_geographic_focus,mp_name,constituency,mp_cleaned_name,mp_gender,province,is_urban_constituency,is_mining_region,is_border_province,has_title,name_length,has_multiple_names,mp_minister_interactions,minister_diversity,mp_diversity,mp_rank_by_activity,minister_rank_by_workload,province_questions_total,province_mp_count,province_avg_questions_per_mp,gender_questions_total,is_female_mp,mp_question_interval,mp_avg_question_interval,mp_consistent_questioner,minister_high_pressure,end_of_year_activity,start_of_year_activity
"Tuesday, 23rd July, 2019",https://www.parliament.gov.zm/node/8020,Order Paper,THIRD SESSION OF THE TWELFTH ASSEMBLY,,,480,Mr Lihefu (Manyinga),"Minister of Housing and Infrastructure Development when the reconstruction of the following bridges, which were washed away by heavy rains in Manyinga Parliamentary Constituency, will commence",QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) Ndunga-Kayombo, connecting Senior Chief Sikufele and Chief Chiyengele’s Chiefdoms; and (b) Chongo in Chief Sikufele’s Chiefdom.",2,,,,0,,,,,7,,,1,,0,0,131,17,1,6.764705882352941,50.2388235294118,10.47529411764706,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,health,0,Mr Lihefu (Manyinga),Manyinga,Lihefu,Male,North-Western,0,1,1,1,6,0,1,6,1,1251.0,1720.5,91,9,10.11111111111111,1515,0,,,0,0,0,0
"Tuesday, 17th September, 2019",https://www.parliament.gov.zm/node/8079,Order Paper,FOURTH SESSION OF THE TWELFTH ASSEMBLY,,,12,Mr Lihefu (Manyinga),Minister of Health,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),(a) why the construction of health posts in Manyinga District has stalled; (b) when the construction works will resume; (c) what the cause of the delay in resuming the projects is; and (d) what the time frame for the completion of each project is.,4,,,,0,,,,,7,,,173,,0,0,247,44,1,4.636363636363637,50.65681818181821,17.12454545454546,0.0,0.089,0.911,-0.4767,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,health,1,Mr Lihefu (Manyinga),Manyinga,Lihefu,Male,North-Western,0,1,1,1,6,0,2,6,95,1251.0,277.0,91,9,10.11111111111111,1515,0,,,0,1,0,0
"Thursday, 13th February, 2020",https://www.parliament.gov.zm/node/8281,Order Paper,FOURTH SESSION OF THE TWELFTH ASSEMBLY,,,121,Mr Lihefu (Manyinga),Minister of Housing and Infrastructure Development,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) whether the Government has any plans to rehabilitate the Manyinga - Mwinilunga road which is in a very deplorable state; and (b) if so, when the plans will be implemented.",2,,,,0,,,,,7,,,67,,0,0,175,31,1,4.67741935483871,43.84500000000003,14.596666666666668,0.0,0.0,1.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,infrastructure,0,Mr Lihefu (Manyinga),Manyinga,Lihefu,Male,North-Western,0,1,1,1,6,0,1,6,44,1251.0,930.0,91,9,10.11111111111111,1515,0,,,0,0,0,0
"Thursday, 19th June, 2025",https://www.parliament.gov.zm/node/12388,Order Paper,FOURTH SESSION OF THE THIRTEENTH ASSEMBLY,,,333,Mr Lubusha (Chipangali),Minister of Health,5. QUESTIONS FOR ORAL ANSWER (STANDING ORDER 80),(a) when the following health facilities in Chipangali Parliamentary Constituency will be operationalised: (i) Chamasongwe; and (ii) Sisinje; and (b) what the cause of the delay in operationalising the health facilities is.,3,,,,0,,,,,2,,,173,,0,0,223,32,1,6.0,10.442500000000024,19.7525,0.0,0.069,0.931,-0.3182,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,health,1,Mr Lubusha (Chipangali),Chipangali,Lubusha,Male,Unknown,0,0,0,1,7,0,1,2,95,1665.5,277.0,1291,196,6.586734693877551,1515,0,,,0,1,0,0
"Wednesday, 12th July, 2023",https://www.parliament.gov.zm/node/11126,Order Paper,SECOND SESSION OF THE THIRTEENTH ASSEMBLY,,,363,Mr Lubusha (Chipangali),Minister of Technology and Science,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) whether the Government has any plans to construct communication towers in the following areas in Chipangali Parliamentary Constituency: (i) Madziatuwa; (vi) Nkhalikhali; (xi) Mgwazo; (ii) Chinunda; (vii) Kaongo; (xii) Dyakanani; (iii) Mnukwa; (viii) Chipitule; (xiii) Chanje; and (iv) Mshawa; (ix) Sisinje; (xiv) Mafuta; (v) Chipangali Centre; (x) Mkanda; (b) if so, when the plans will be implemented; (c) if there are no such plans, why; and (d) whether the entire Constituency will be covered with mobile network once the towers are commissioned.",6,,,,0,,,,,2,,,32,,0,0,553,83,1,5.674698795180723,-21.128072289156606,36.82578313253012,0.0,0.026,0.974,-0.296,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,governance,1,Mr Lubusha (Chipangali),Chipangali,Lubusha,Male,Unknown,0,0,0,1,7,0,1,2,26,1665.5,1222.5,1291,196,6.586734693877551,1515,0,,,0,0,0,0
"Thursday, 22nd February, 2018",https://www.parliament.gov.zm/node/7382,Order Paper,SECOND SESSION OF THE TWELFTH ASSEMBLY,,,150,Mr Lufuma (Kabompo),Minister of Finance,QUESTIONS FOR ORAL ANSWER,"(a)    how the three Eurobonds issued by the Government were utilised, year by year, and sector by sector; (b)    how much interest is paid on each Eurobond, per year; and (c)    whether the Eurobonds will be fully repaid when they mature.",3,,,,0,,,,,14,,,17,,0,0,239,41,1,4.634146341463414,47.60536585365858,16.80487804878049,0.129,0.0,0.871,0.7003,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,governance,0,Mr Lufuma (Kabompo),Kabompo,Lufuma,Male,North-Western,0,1,1,1,6,0,1,10,10,874.5,1444.0,91,9,10.11111111111111,1515,0,,,1,0,0,0
"Thursday, 22nd February, 2018",https://www.parliament.gov.zm/node/7382,Order Paper,SECOND SESSION OF THE TWELFTH ASSEMBLY,,,151,Mr Lufuma (Kabompo),Minister of Information and Broadcasting,QUESTIONS FOR ORAL ANSWER,"(a)    whether the Zambia National Broadcasting Corporation (ZNBC) has a new equity partner; (b)    if so, what the name of the partner is; (c)    how many shares, in percentage terms, were allotted to the partner; (d)    what the value of each share is; and (e)    what additional value the partner has brought to ZNBC.",5,,,,0,,,,,14,,,5,,0,0,320,54,1,4.666666666666667,23.558333333333337,23.388518518518527,0.158,0.0,0.842,0.802,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,infrastructure,0,Mr Lufuma (Kabompo),Kabompo,Lufuma,Male,North-Western,0,1,1,1,6,0,1,10,5,874.5,1605.5,91,9,10.11111111111111,1515,0,,,1,0,0,0
"Thursday, 5th March, 2020",https://www.parliament.gov.zm/node/8310,Order Paper,FOURTH SESSION OF THE TWELFTH ASSEMBLY,,,232,Mr Lufuma (Kabompo),"Minister of Commerce, Trade and Industry",QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) whether the Government is aware that the Kalumbila Multi Facility Economic Zone in Kalumbila District, has not been gazetted to commence operations; and (b) if so, what the cause of the delay in gazetting the Economic Zone is.",2,,,,0,,,,,14,,,18,,0,0,230,39,1,4.923076923076923,30.58846153846156,18.681538461538462,0.0,0.057,0.943,-0.3182,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,governance,1,Mr Lufuma (Kabompo),Kabompo,Lufuma,Male,North-Western,0,1,1,1,6,0,1,10,16,874.5,1417.5,91,9,10.11111111111111,1515,0,,,1,0,0,0
"Tuesday, 15th September, 2020",https://www.parliament.gov.zm/node/8436,Order Paper,FIFTH SESSION OF THE TWELFTH ASSEMBLY,,,5,Mr Lufuma (Kabompo),Minister of Gender,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) whether there were any women empowerment programmes in Kabompo Parliamentary Constituency funded by the Government from 2017 to  2019; (b) if so, what the programmes are; and (c) how much money was disbursed for each programme.",3,,,,0,,,,,14,,,4,,0,0,231,37,1,5.243243243243243,32.09081081081081,17.975135135135137,0.0,0.0,1.0,0.0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,3,energy,1,Mr Lufuma (Kabompo),Kabompo,Lufuma,Male,North-Western,0,1,1,1,6,0,1,10,4,874.5,1623.5,91,9,10.11111111111111,1515,0,,,1,0,0,0
"Thursday, 27th February, 2020",https://www.parliament.gov.zm/node/8294,Order Paper,FOURTH SESSION OF THE TWELFTH ASSEMBLY,,,204,Mr Lufuma (Kabompo),Minister of Energy,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),(a) why the construction of a power line from Kabompo Township to Kayombo has stalled; (b) whether the project includes the electrification of the following primary schools located between Kabompo Township and Kayombo: (i) Chikokwelo; (ii) Mbulundu; (iii) Mushivi; and (iv) Chikenge; (c) when works on the project will resume; (d) what the time frame for the completion of the project is; (e) who the contractor is; and (f) what the total cost of the project is.,7,,,,0,,,,,14,,,88,,0,0,462,77,1,5.012987012987013,3.4280519480519587,31.910129870129868,0.0,0.023,0.977,-0.2023,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,3,education,0,Mr Lufuma (Kabompo),Kabompo,Lufuma,Male,North-Western,0,1,1,1,6,0,2,10,63,874.5,628.5,91,9,10.11111111111111,1515,0,,,1,0,0,0
"Thursday, 20th June, 2019",https://www.parliament.gov.zm/node/7966,Order Paper,THIRD SESSION OF THE TWELFTH ASSEMBLY,,,394,Mr Lufuma (Kabompo),Minister of Agriculture,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),(a) how much money is owed to transporters of farming inputs for the 2017/2018 farming season countrywide; (b) how much is owed to the transporters in Kabompo District; and (c) when the outstanding amounts will be paid to the transporters in the District.,3,,,,0,,,,,14,,,79,,0,0,255,43,1,4.953488372093023,41.2086046511628,18.19395348837209,0.087,0.0,0.913,0.6124,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,3,infrastructure,1,Mr Lufuma (Kabompo),Kabompo,Lufuma,Male,North-Western,0,1,1,1,6,0,2,10,42,874.5,712.0,91,9,10.11111111111111,1515,0,,,1,0,0,0
"Thursday, 11th October, 2018",https://www.parliament.gov.zm/node/7710,Order Paper,THIRD SESSION OF THE TWELFTH ASSEMBLY,,,64,Mr Lufuma (Kabompo),Minister of Local Government,QUESTIONS FOR ORAL ANSWER (STANDING ORDER NO. 30),"(a) whether the payment of annuities to beneficiaries by the Local Authorities Superannuation Fund is up-to-date; (b) if not, why the payment is not up-to-date; (c) what the total amount owing is; and (d) when the outstanding amount will be paid.",4,,,,0,,,,,14,,,43,,0,0,246,41,1,5.024390243902439,18.717560975609786,20.834146341463413,0.148,0.0,0.852,0.7783,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,health,0,Mr Lufuma (Kabompo),Kabompo,Lufuma,Male,North-Western,0,1,1,1,6,0,2,10,30,874.5,1149.0,91,9,10.11111111111111,1515,0,,,1,0,0,0
"Thursday, 11th October, 2018",https://www.parliament.gov.zm/node/7710,Order Paper,THIRD SESSION OF THE TWELFTH ASSEMBLY,,,67,Mr Lufuma (Kabompo),Minister of Health,QUESTIONS FOR ORAL ANSWER (STANDING ORDER NO. 30),"(a) whether the Government has any plans to deploy additional doctors to Kabompo District Hospital to reduce the critical shortage of doctors; (b) if so, when the plans will be implemented; and (c) how many doctors are earmarked for deployment. ORDER OF THE DAY Supply - Motion (28th September) - Resumption of Debate. ___________________________",3,,,,0,,,,,14,,,173,,0,0,346,54,3,5.425925925925926,40.529615384615425,14.065384615384616,0.0,0.079,0.921,-0.5106,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,3,health,1,Mr Lufuma (Kabompo),Kabompo,Lufuma,Male,North-Western,0,1,1,1,6,0,2,10,95,874.5,277.0,91,9,10.11111111111111,1515,0,,,1,1,0,0
"Thursday,18th July, 2019",https://www.parliament.gov.zm/node/8016,Order Paper,THIRD SESSION OF THE TWELFTH ASSEMBLY,,,469,Mr Lufuma (Kabompo),Minister of Agriculture,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) when the Food Reserve Agency (FRA) will pay farmers for the maize supplied during the 2017/2018 marketing season, countrywide; (b) how much money the FRA owes the farmers, province by province; and (c) what has caused the delay in paying the farmers.",3,,,,0,,,,,14,,,79,,0,0,254,43,1,4.930232558139535,43.1760465116279,17.91953488372093,0.0,0.083,0.917,-0.4019,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,2,agriculture,1,Mr Lufuma (Kabompo),Kabompo,Lufuma,Male,North-Western,0,1,1,1,6,0,2,10,42,874.5,712.0,91,9,10.11111111111111,1515,0,,,1,0,0,0
"Tuesday, 11th December, 2018",https://www.parliament.gov.zm/node/7821,Order Paper,THIRD SESSION OF THE TWELFTH ASSEMBLY,,,127,Mr Lufuma (Kabompo),Minister of Health,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),(a) why the construction of the following health facilities in Kabompo Parliamentary Constituency have stalled: (i) Ndungo Rural Health Post in Kamisombo Ward; and (ii) a maternity wing at Mumbeji Rural Health Centre; (b) when the construction works will resume; and (c) what the estimated time frame for the completion of the outstanding works on each project is.,4,,,,0,,,,,14,,,173,,0,0,364,58,1,5.293103448275862,7.937413793103474,26.56103448275862,0.066,0.03,0.905,0.4939,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,health,1,Mr Lufuma (Kabompo),Kabompo,Lufuma,Male,North-Western,0,1,1,1,6,0,2,10,95,874.5,277.0,91,9,10.11111111111111,1515,0,,,1,1,0,0
"Friday, 4th December, 2020",https://www.parliament.gov.zm/node/8628,Order Paper,FIFTH SESSION OF THE TWELFTH ASSEMBLY,,,72,Mr Lufuma (Kabompo),Minister of Housing and Infrastructure Development,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) why the construction of Kanaji Chilanda Secondary School in Kabompo District which is over 80% complete has stalled; (b) whether funds have been allocated to complete the outstanding works; (c) if not, what the cause of the delay in allocating the funds is; and (d) what the time frame for the completion of the remaining works is. NOTICE OF MOTION The Acting Minister of Finance Supply: That the House do now resolve into Committee of Supply to consider Supplementary Estimates No.1 of 2020. __________________________",4,,,,0,,,,,14,,,67,,0,0,523,85,3,5.1647058823529415,46.69784313725492,13.784705882352945,0.072,0.045,0.883,0.5423,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,1,3,education,1,Mr Lufuma (Kabompo),Kabompo,Lufuma,Male,North-Western,0,1,1,1,6,0,1,10,44,874.5,930.0,91,9,10.11111111111111,1515,0,,,1,0,0,0
"Friday, 30th April, 2021",https://www.parliament.gov.zm/node/8973,Order Paper,FIFTH SESSION OF THE TWELFTH ASSEMBLY,,,190,Mr Lufuma (Kabompo),Minister of Energy,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),(a) why the construction of power lines to electrify the following primary schools in Kabompo District has stalled: (i) Kalambo; (ii) Samununga; (iii) Nkulwashi; (iv) Biyeko; and (v) Kabulamema; (b) when works on the project will resume; (c) who the contractor is; and (d) what the total cost of the project is.,6,,,,0,,,,,14,,,88,,0,0,311,52,1,5.0,30.40884615384617,21.936153846153847,0.0,0.034,0.966,-0.2023,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,3,education,1,Mr Lufuma (Kabompo),Kabompo,Lufuma,Male,North-Western,0,1,1,1,6,0,2,10,63,874.5,628.5,91,9,10.11111111111111,1515,0,,,1,0,0,0
"Tuesday, 18th September, 2018",https://www.parliament.gov.zm/node/7656,Order Paper,THIRD SESSION OF THE TWELFTH ASSEMBLY,,,5,Mr Lufuma (Kabompo),Minister of Local Government,QUESTIONS FOR ORAL ANSWER (STANDING ORDER NO. 30),(a) when the tarring of township roads in Kabompo District will commence; (b) what has caused the delay in commencing the project; (c) what the total cost of the project is; and (d) what the time frame for completing the project is.,4,,,,0,,,,,14,,,43,,0,0,232,42,1,4.5476190476190474,51.40500000000003,16.52333333333333,0.0,0.053,0.947,-0.3182,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,infrastructure,1,Mr Lufuma (Kabompo),Kabompo,Lufuma,Male,North-Western,0,1,1,1,6,0,2,10,30,874.5,1149.0,91,9,10.11111111111111,1515,0,,,1,0,0,0
"Tuesday, 18th September, 2018",https://www.parliament.gov.zm/node/7656,Order Paper,THIRD SESSION OF THE TWELFTH ASSEMBLY,,,13,Mr Lufuma (Kabompo),"Minister of Commerce, Trade and Industry why 10 out of 12 solar milling plants were allocated to co-operative societies which were not on the approved list of beneficiaries in Kabompo District.",QUESTIONS FOR ORAL ANSWER (STANDING ORDER NO. 30),,0,,,,0,,,,,14,,,1,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,health,0,Mr Lufuma (Kabompo),Kabompo,Lufuma,Male,North-Western,0,1,1,1,6,0,1,10,1,874.5,1720.5,91,9,10.11111111111111,1515,0,,,1,0,0,0
"Wednesday, 20th September, 2023",https://www.parliament.gov.zm/node/11205,Order Paper,THIRD SESSION OF THE THIRTEENTH ASSEMBLY,,,36,Mr Lungu (Kapoche),Minister of Agriculture,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) whether the Government has any plans to include all village headmen/women, countrywide, on the Farmer Input Support Programme; (b) if so, when the plans will be implemented; and (c) if there are no such plans, why.",3,,,,0,,,,,1,,,79,,0,0,218,37,1,4.918918918918919,43.52324324324326,16.38054054054054,0.068,0.055,0.877,0.128,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,agriculture,0,Mr Lungu (Kapoche),Kapoche,Lungu,Male,Unknown,0,0,0,1,5,0,1,1,42,1744.0,712.0,1291,196,6.586734693877551,1515,0,,,0,0,0,0
"Tuesday, 26th February, 2019",https://www.parliament.gov.zm/node/7890,Order Paper,THIRD SESSION OF THE TWELFTH ASSEMBLY,,,269,Mr M Jere (Livingstone),Minister of Transport and Communication,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) when the former employees of the following companies, who retired in the period 1992 to 2000, will be paid their terminal benefits: (i) Zambia Railways Limited; (ii) Zambia Telecommunications Company Limited; and (iii) Zambia Postal Services Corporation; (b) what has caused the delay in paying the retirees; and (c) how many retirees are affected in each company.",4,,,,0,,,,,4,,,15,,0,0,368,58,1,5.362068965517241,-9.566034482758596,29.002413793103447,0.041,0.122,0.837,-0.4767,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,health,0,Mr M Jere (Livingstone),Livingstone,M Jere,Male,Southern,0,0,0,1,6,0,1,4,14,1537.5,1491.0,20,5,4.0,1515,0,,,0,0,0,0
"Wednesday, 31st July, 2019",https://www.parliament.gov.zm/node/8053,Order Paper,THIRD SESSION OF THE TWELFTH ASSEMBLY,,,514,Mr M Jere (Livingstone),Minister of Housing and,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) why the construction of the Shungu Namutitima Secondary School in Livingstone District has stalled; (b) when the works will resume; (c) who the contractor for the project is; (d) what the total cost of the project is; and (e) what the time frame for the completion of the outstanding works, is.",5,,,,0,,,,,4,,,11,,0,0,298,52,1,4.75,33.662692307692325,21.482307692307696,0.072,0.032,0.896,0.4939,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,education,1,Mr M Jere (Livingstone),Livingstone,M Jere,Male,Southern,0,0,0,1,6,0,1,4,11,1537.5,1544.0,20,5,4.0,1515,0,,,0,0,0,0
"Friday, 5th July, 2019",https://www.parliament.gov.zm/node/7990,Order Paper,THIRD SESSION OF THE TWELFTH ASSEMBLY,,,435,Mr M Jere (Livingstone),Minister of Housing and Infrastructure Development,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),(a) when the rehabilitation of the Libuyu Bridge in Livingstone will commence; (b) what the time frame for the completion of the project is; (c) what the cost of the project is; and (d) what the name of the contractor for the project is.,4,,,,0,,,,,4,,,67,,0,0,237,44,1,4.409090909090909,48.73409090909094,17.392727272727274,0.0,0.0,1.0,0.0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,infrastructure,0,Mr M Jere (Livingstone),Livingstone,M Jere,Male,Southern,0,0,0,1,6,0,1,4,44,1537.5,930.0,20,5,4.0,1515,0,,,0,0,0,0
"Tuesday, 22nd September, 2020",https://www.parliament.gov.zm/node/8455,Order Paper,FIFTH SESSION OF THE TWELFTH ASSEMBLY,,,32,Mr M Jere (Livingstone),Minister of Tourism and Arts,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) what the value of the white rhinos that were killed on 26th February, 2020, by a motor vehicle along the Livingstone - Kazungula road in the Mosi-oa-Tonya National Park was; (b) whether the rhinos were tagged with cameras for easy monitoring of their movements; (c) whether the rhinos were insured; (d) if the rhinos were not insured, why; and (e) how many white rhinos there were in the Park as of 1st March, 2020.",5,,,,0,,,,,4,,,14,,0,0,419,75,1,4.6,10.541216216216242,30.172702702702704,0.066,0.056,0.877,-0.0516,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,infrastructure,0,Mr M Jere (Livingstone),Livingstone,M Jere,Male,Southern,0,0,0,1,6,0,1,4,11,1537.5,1520.5,20,5,4.0,1515,0,,,0,0,0,0
"Tuesday, 16th November, 2021",https://www.parliament.gov.zm/node/9893,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,87,Mr M Zulu (Lumezi),Minister of Defence,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 76),"(a) why the Government is using military vehicles to transport farming inputs under the Farmer Input Support Programme; and (b) whether the use of the military vehicles does not compromise state security. ORDER OF THE DAY 1. Supply - Motion (29th October) - Resumption of Debate: (Mr Katotobwe, MP) __________________________",2,,,,0,,,,,1,,,9,,0,0,325,50,3,5.52,37.25750000000002,12.037500000000005,0.053,0.04,0.907,0.169,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,4,infrastructure,0,Mr M Zulu (Lumezi),Lumezi,M Zulu,Male,Unknown,0,0,0,1,6,0,1,1,8,1744.0,1565.0,1291,196,6.586734693877551,1515,0,,,0,0,0,0
"Tuesday, 15th February, 2022",https://www.parliament.gov.zm/node/9994,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,120,Mr M Zulu (Nyimba),"Minister of Infrastructure, Housing and Urban Development",QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) what the progress, in percentage terms, on the construction of Nyimba District Hospital was, as of September, 2021; (b) when the construction of the Hospital will be completed; (c) what the cause of the delay in completing the project is; (d) what the cost of the outstanding works is; and (e) what the time frame for the outstanding works is.",5,,,,0,,,,,1,,,190,,0,0,347,61,1,4.704918032786885,24.260983606557403,25.029508196721313,0.154,0.033,0.813,0.8591,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,2,health,1,Mr M Zulu (Nyimba),Nyimba,M Zulu,Male,Eastern,0,0,1,1,6,0,1,1,98,1744.0,95.5,36,10,3.6,1515,0,,,0,1,0,0
"Friday, 18th February, 2022",https://www.parliament.gov.zm/node/10002,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,168,Mr Mabenga (Mulobezi),Minister of Technology and Science,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) whether the Government has any plans to prohibit internet service providers from prescribing expiry dates for internet bundles purchased by customers; (b) if so, when the plans will be implemented; (c) whether the prohibition will be extended to air time minutes; and (d) if there are no such plans, why.",4,,,,0,,,,,23,,,32,,0,0,308,51,1,5.0588235294117645,19.04647058823531,23.27254901960784,0.0,0.042,0.958,-0.296,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,governance,0,Mr Mabenga (Mulobezi),Mulobezi,Mabenga,Male,Unknown,0,0,0,1,7,0,2,11,26,505.0,1222.5,1291,196,6.586734693877551,1515,0,,,1,0,0,0
"Thursday, 12th June, 2025",https://www.parliament.gov.zm/node/12380,Order Paper,FOURTH SESSION OF THE THIRTEENTH ASSEMBLY,,,313,Mr Mabenga (Mulobezi),"Minister of Youth, Sport and Arts",6. QUESTIONS FOR ORAL ANSWER (STANDING ORDER 80),"(a) how many professional golfers the country produced from 2016 to 2021; (b) whether the Government has any plans to rehabilitate golf infrastructure, countrywide; (c) if so, when the plans will be implemented; and (d) what measures are being taken to improve the sport in the country.",4,,,,0,,,,,23,,,36,,0,0,286,47,1,5.1063829787234045,24.129999999999995,21.569787234042554,0.059,0.0,0.941,0.4404,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,2,infrastructure,0,Mr Mabenga (Mulobezi),Mulobezi,Mabenga,Male,Unknown,0,0,0,1,7,0,2,11,23,505.0,1188.5,1291,196,6.586734693877551,1515,0,,,1,0,0,0
"Thursday, 3rd March, 2022",https://www.parliament.gov.zm/node/10022,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,265,Mr Mabenga (Mulobezi),Minister of Energy,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) whether the Government has any plans to electrify the following Schools in Mulobezi Parliamentary Constituency: (i) Sanembo Primary; (ii) Kamanga Primary; (iii) Bwina Secondary; and (iv) Nawinda Secondary; and (b) if so, when the plans will be implemented. __________________________",3,,,,0,,,,,23,,,88,,0,0,287,40,2,6.2,7.610000000000014,22.135,0.0,0.0,1.0,0.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,education,1,Mr Mabenga (Mulobezi),Mulobezi,Mabenga,Male,Unknown,0,0,0,1,7,0,1,11,63,505.0,628.5,1291,196,6.586734693877551,1515,0,,,1,0,0,0
"Friday, 1st July, 2022",https://www.parliament.gov.zm/node/10219,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,348,Mr Mabenga (Mulobezi),Minister of Technology and Science,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) whether the Government has any plans to construct communication towers in Kasompa Ward in Mulobezi Parliamentary Constituency; (b) if so, when the plans will be implemented; and (c) which other areas are being considered for construction of communication towers in the Constituency.",3,,,,0,,,,,23,,,32,,0,0,286,43,1,5.674418604651163,-2.0751162790697606,24.23116279069767,0.0,0.0,1.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,infrastructure,1,Mr Mabenga (Mulobezi),Mulobezi,Mabenga,Male,Unknown,0,0,0,1,7,0,2,11,26,505.0,1222.5,1291,196,6.586734693877551,1515,0,,,1,0,0,0
